"academic_year","fiscal_year","sort_term","term","crn","type","location","credit_sub_abbr","credit_type","student_level","course_level","same_dept_flag","same_college_flag","same_college_flag_cas","course_level_detail","student_level_detail","credit","fte","headcount","year","course_number_cat","department"
"2016-17","2017",201601,"Spring",32583,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",48,1.066666667,12,"2017","200 level course","Honors College"
"2013-14","2014",201302,"Spring",35236,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",76,1.688888889,19,"2014","400 level course","Honors College"
"2016-17","2017",201601,"Winter",27215,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",4,0.088888889,1,"2017","200 level course","Honors College"
"2017-18","2018",201701,"Spring",36286,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",56,1.244444444,14,"2018","400 level course","Honors College"
"2019-20","2020",201901,"Winter",22779,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",44,0.977777778,11,"2020","400 level course","Honors College"
"2019-20","2020",201901,"Winter",26452,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",24,0.533333333,6,"2020","200 level course","Honors College"
"2017-18","2018",201701,"Fall",12760,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",17,0.377777778,17,"2017","100 level course","Honors College"
"2019-20","2020",201901,"Fall",17110,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Lower Division",4,0.088888889,1,"2019","400 level course","Honors College"
"2017-18","2018",201701,"Fall",12776,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",4,0.088888889,1,"2017","200 level course","Honors College"
"2013-14","2014",201302,"Winter",23944,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",8,0.177777778,2,"2014","200 level course","Honors College"
"2016-17","2017",201601,"Winter",26448,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Lower Division",4,0.088888889,1,"2017","400 level course","Honors College"
"2017-18","2018",201701,"Spring",36251,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",48,1.066666667,12,"2018","400 level course","Honors College"
"2019-20","2020",201901,"Fall",12727,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",19,0.422222222,19,"2019","100 level course","Honors College"
"2018-19","2019",201801,"Fall",12819,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",8,0.177777778,2,"2018","200 level course","Honors College"
"2014-15","2015",201401,"Winter",22632,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",40,0.888888889,10,"2015","200 level course","Honors College"
"2015-16","2016",201501,"Fall",16964,"S","S","HC","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",4,0.088888889,1,"2015","400 level course","Honors College"
"2014-15","2015",201401,"Winter",22639,"E","I","HC","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",2,0.0444444,2,"2015","300 level course","Honors College"
"2019-20","2020",201901,"Fall",12743,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",12,0.266666667,3,"2019","200 level course","Honors College"
"2014-15","2015",201401,"Spring",32623,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",76,1.688888889,19,"2015","400 level course","Honors College"
"2017-18","2018",201701,"Winter",23254,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",32,0.711111111,8,"2018","200 level course","Honors College"
"2014-15","2015",201401,"Fall",12888,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Lower Division",4,0.088888889,1,"2014","400 level course","Honors College"
"2018-19","2019",201801,"Fall",12817,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",16,0.355555556,4,"2018","200 level course","Honors College"
"2014-15","2015",201401,"Winter",22633,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",40,0.888888889,10,"2015","200 level course","Honors College"
"2017-18","2018",201701,"Fall",12767,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",12,0.266666667,3,"2017","200 level course","Honors College"
"2019-20","2020",201901,"Winter",27116,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",80,1.777777778,20,"2020","400 level course","Honors College"
"2018-19","2019",201801,"Winter",23392,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Lower Division",4,0.088888889,1,"2019","400 level course","Honors College"
"2017-18","2018",201701,"Spring",36270,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",76,1.688888889,19,"2018","400 level course","Honors College"
"2015-16","2016",201501,"Spring",32626,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",20,0.444444444,5,"2016","200 level course","Honors College"
"2015-16","2016",201501,"Winter",22747,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",60,1.333333333,15,"2016","200 level course","Honors College"
"2015-16","2016",201501,"Fall",16872,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Lower Division",8,0.177777778,2,"2015","400 level course","Honors College"
"2019-20","2020",201901,"Winter",22758,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",4,0.088888889,1,"2020","200 level course","Honors College"
"2019-20","2020",201901,"Fall",12766,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",56,1.244444444,14,"2019","200 level course","Honors College"
"2018-19","2019",201801,"Fall",12818,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",8,0.177777778,2,"2018","200 level course","Honors College"
"2015-16","2016",201501,"Winter",22730,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",8,0.177777778,2,"2016","200 level course","Honors College"
"2019-20","2020",201901,"Winter",27193,"S","S","HC","Self-Support","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",4,0.088888889,1,"2020","400 level course","Honors College"
"2016-17","2017",201601,"Fall",16849,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",52,1.155555556,13,"2016","200 level course","Honors College"
"2018-19","2019",201801,"Spring",32529,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",14,0.311111111,14,"2019","400 level course","Honors College"
"2016-17","2017",201601,"Winter",27136,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",32,0.711111111,8,"2017","400 level course","Honors College"
"2019-20","2020",201901,"Winter",22756,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",52,1.155555556,13,"2020","200 level course","Honors College"
"2016-17","2017",201601,"Fall",12733,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",56,1.244444444,14,"2016","200 level course","Honors College"
"2018-19","2019",201801,"Fall",12774,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",8,0.177777778,2,"2018","200 level course","Honors College"
"2018-19","2019",201801,"Fall",12834,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",64,1.422222222,16,"2018","400 level course","Honors College"
"2015-16","2016",201501,"Fall",12747,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",64,1.422222222,16,"2015","200 level course","Honors College"
"2019-20","2020",201901,"Winter",22780,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Lower Division",4,0.088888889,1,"2020","400 level course","Honors College"
"2017-18","2018",201701,"Spring",32546,"I","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Lower Division",2,0.0444444,2,"2018","400 level course","Honors College"
"2017-18","2018",201701,"Winter",23287,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",60,1.333333333,15,"2018","400 level course","Honors College"
"2015-16","2017",201501,"Summer",42419,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",60,1.333333333,15,"2016","400 level course","Honors College"
"2015-16","2016",201501,"Winter",22730,"E","I","HC","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Lower Division",11,0.244444444,7,"2016","300 level course","Honors College"
"2019-20","2020",201901,"Fall",12739,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",48,1.066666667,12,"2019","200 level course","Honors College"
"2018-19","2019",201801,"Fall",17190,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",64,1.422222222,16,"2018","200 level course","Honors College"
"2019-20","2020",201901,"Fall",17290,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",68,1.511111111,17,"2019","200 level course","Honors College"
"2013-14","2014",201302,"Winter",23966,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",64,1.422222222,16,"2014","400 level course","Honors College"
"2014-15","2015",201401,"Winter",22654,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",84,2.133333333,24,"2015","400 level course","Honors College"
"2017-18","2018",201701,"Fall",12755,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",2,0.0444444,2,"2017","100 level course","Honors College"
"2018-19","2019",201801,"Spring",32533,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",14,0.311111111,14,"2019","400 level course","Honors College"
"2016-17","2017",201601,"Spring",32600,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",26,0.577777778,14,"2017","400 level course","Honors College"
"2016-17","2017",201601,"Fall",12744,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",8,0.177777778,2,"2016","200 level course","Honors College"
"2019-20","2020",201901,"Fall",12744,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",56,1.244444444,14,"2019","200 level course","Honors College"
"2014-15","2015",201401,"Winter",22621,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",40,0.888888889,10,"2015","200 level course","Honors College"
"2018-19","2019",201801,"Spring",32546,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",80,1.777777778,20,"2019","400 level course","Honors College"
"2018-19","2019",201801,"Fall",12800,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",64,1.422222222,16,"2018","200 level course","Honors College"
"2014-15","2015",201401,"Spring",32623,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",16,0.355555556,4,"2015","200 level course","Honors College"
"2018-19","2019",201801,"Spring",32529,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",18,0.4,17,"2019","400 level course","Honors College"
"2017-18","2018",201701,"Spring",32538,"N","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Lower Division",2,0.0444444,1,"2018","400 level course","Honors College"
"2017-18","2018",201701,"Fall",12761,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",56,1.244444444,14,"2017","200 level course","Honors College"
"2015-16","2016",201501,"Fall",12766,"S","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",72,1.6,18,"2015","400 level course","Honors College"
"2016-17","2017",201601,"Winter",22791,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",16,0.355555556,4,"2017","200 level course","Honors College"
"2015-16","2016",201501,"Fall",12752,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",36,0.8,9,"2015","200 level course","Honors College"
"2019-20","2020",201901,"Fall",17201,"L","I","HC","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",8,0.177777778,2,"2019","200 level course","Honors College"
