"academic_year","fiscal_year","sort_term","term","crn","type","location","credit_type","student_level","course_level","same_dept_flag","same_college_flag","same_college_flag_cas","course_level_detail","student_level_detail","credit","fte","headcount","year","course_number_cat","department"
"2015-16","2016",201502,"Fall",14556,"A","I","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",2,0.0444444,1,"2015","300 level course","Music"
"2019-20","2020",201902,"Winter",24194,"I","I","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",2,0.0444444,1,"2020","300 level course","Music"
"2014-15","2015",201401,"Spring",36525,"L","I","Regular","Graduate","Graduate","1","1","1","600/700","Masters",3,0.083333333,3,"2015","600 level course","Dance"
"2017-18","2018",201702,"Spring",31802,"A","I","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",2,0.0444444,2,"2018","100 level course","Dance"
"2015-16","2016",201501,"Spring",34449,"L","I","Regular","Graduate","Graduate","1","1","1","500","Masters",3,0.083333333,1,"2016","500 level course","Music"
"2017-18","2018",201702,"Winter",25021,"A","I","Regular","Graduate","Undergraduate","0","0","0","Upper Division","Masters",1,0.0277778,1,"2018","300 level course","Music"
"2015-16","2016",201501,"Winter",24593,"A","I","Regular","Graduate","Graduate","1","1","1","600/700","Doctoral",2,0.074074074,1,"2016","600 level course","Music"
"2013-14","2014",201302,"Spring",36579,"I","I","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",2,0.0444444,1,"2014","200 level course","Music"
"2014-15","2015",201402,"Spring",33997,"I","I","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",6,0.133333333,2,"2015","100 level course","Music"
"2015-16","2016",201502,"Spring",33995,"I","I","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",8,0.177777778,2,"2016","200 level course","Music"
"2019-20","2020",201901,"Winter",21976,"L","I","Regular","Graduate","Graduate","1","1","1","600/700","Masters",3,0.083333333,1,"2020","600 level course","Dance"
"2015-16","2016",201502,"Winter",24032,"I","I","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",2,0.0444444,1,"2016","100 level course","Music"
"2018-19","2019",201803,"Spring",34208,"L","I","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",4,0.088888889,1,"2019","400 level course","Music"
"2014-15","2015",201403,"Winter",24579,"A","I","Regular","Graduate","Graduate","1","1","1","600/700","Masters",10,0.277777778,6,"2015","600 level course","Music"
"2019-20","2020",201902,"Fall",14531,"A","I","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",102,2.311111111,54,"2019","300 level course","Music"
"2016-17","2017",201602,"Spring",36652,"A","I","Regular","Graduate","Undergraduate","0","0","0","Upper Division","Masters",1,0.0277778,1,"2017","400 level course","Dance"
"2017-18","2018",201702,"Spring",33645,"E","I","Regular","Graduate","Graduate","1","1","1","600/700","Masters",12,0.333333333,1,"2018","600 level course","Music"
"2017-18","2018",201701,"Spring",34314,"A","I","Regular","Graduate","Graduate","1","1","1","500","Masters",12,0.333333333,6,"2018","500 level course","Dance"
"2018-19","2019",201801,"Fall",14458,"A","I","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",3,0.066666667,3,"2018","100 level course","Music"
"2018-19","2019",201801,"Fall",14260,"I","I","Regular","Graduate","Graduate","1","1","1","600/700","Masters",2,0.0555556,1,"2018","600 level course","Music"
"2017-18","2018",201701,"Winter",24928,"L","I","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",124,2.755555556,31,"2018","200 level course","Music"
"2017-18","2018",201703,"Fall",14493,"L","I","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",66,1.466666667,20,"2017","300 level course","Music"
"2016-17","2017",201602,"Winter",24386,"I","I","Regular","Graduate","Graduate","1","1","1","600/700","Masters",4,0.111111111,2,"2017","600 level course","Music"
"2016-17","2017",201602,"Winter",24163,"I","I","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",6,0.133333333,2,"2017","200 level course","Music"
"2013-14","2014",201302,"Spring",34329,"A","I","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",7,0.155555556,7,"2014","400 level course","Dance"
"2017-18","2018",201702,"Winter",22465,"L","I","Regular","Graduate","Graduate","1","1","1","500","Masters",6,0.166666667,2,"2018","500 level course","Dance"
"2014-15","2016",201404,"Summer",41666,"L","I","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",4,0.088888889,1,"2015","100 level course","Music"
"2014-15","2015",201401,"Fall",14768,"A","I","Regular","Graduate","Graduate","1","1","1","600/700","Masters",2,0.0555556,2,"2014","600 level course","Music"
"2018-19","2019",201801,"Fall",14080,"I","I","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",20,0.444444444,5,"2018","100 level course","Music"
"2018-19","2019",201802,"Fall",13986,"L","I","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Lower Division",292,6.488888889,74,"2018","300 level course","Music"
"2015-16","2016",201502,"Fall",17194,"A","I","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",2,0.0444444,2,"2015","300 level course","Music"
"2015-16","2016",201501,"Fall",14603,"L","I","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Lower Division",6,0.133333333,2,"2015","400 level course","Music"
"2014-15","2015",201401,"Fall",14090,"E","I","Regular","Graduate","Graduate","1","1","1","600/700","Masters",2,0.0555556,1,"2014","600 level course","Music"
"2014-15","2015",201401,"Winter",24569,"A","I","Regular","Graduate","Graduate","1","1","1","600/700","Masters",16,0.444444444,8,"2015","600 level course","Music"
"2018-19","2019",201802,"Winter",22553,"A","I","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Upper Division",2,0.0444444,2,"2019","100 level course","Dance"
"2016-17","2017",201603,"Winter",21932,"L","I","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",3,0.066666667,1,"2017","400 level course","Dance"
"2015-16","2016",201503,"Winter",24492,"A","I","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",7,0.155555556,7,"2016","300 level course","Music"
"2013-14","2014",201302,"Winter",23080,"A","I","Regular","Undergraduate","Undergraduate","0","1","1","Lower Division","Lower Division",1,0.0222222,1,"2014","100 level course","Dance"
"2017-18","2018",201702,"Winter",24485,"A","I","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",26,0.577777778,13,"2018","300 level course","Music"
"2016-17","2017",201603,"Winter",21933,"L","I","Regular","Graduate","Graduate","0","0","0","500","Doctoral",3,0.111111111,1,"2017","500 level course","Dance"
"2019-20","2020",201902,"Fall",14530,"A","I","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",4,0.088888889,2,"2019","300 level course","Music"
"2015-16","2016",201501,"Winter",24433,"A","I","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Upper Division",12,0.266666667,4,"2016","100 level course","Music"
"2017-18","2018",201703,"Winter",24532,"I","I","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",12,0.266666667,5,"2018","100 level course","Music"
"2017-18","2018",201702,"Spring",34183,"L","I","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",60,1.333333333,15,"2018","300 level course","Music"
"2019-20","2020",201902,"Fall",14046,"I","I","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",4,0.088888889,2,"2019","100 level course","Music"
"2014-15","2015",201403,"Spring",31721,"N","I","Regular","Graduate","Graduate","1","1","1","600/700","Masters",4,0.111111111,4,"2015","600 level course","Dance"
"2015-16","2016",201503,"Spring",31760,"I","I","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",2,0.0444444,2,"2016","400 level course","Dance"
"2018-19","2019",201802,"Fall",14034,"I","I","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",4,0.088888889,1,"2018","100 level course","Music"
"2018-19","2019",201802,"Spring",31741,"A","I","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",2,0.0444444,2,"2019","100 level course","Dance"
"2015-16","2016",201501,"Fall",14595,"L","I","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",24,0.533333333,8,"2015","400 level course","Music"
"2017-18","2019",201704,"Summer",41579,"L","I","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",24,0.533333333,10,"2018","100 level course","Music"
"2015-16","2016",201501,"Winter",23904,"L","I","Regular","Graduate","Graduate","1","1","1","500","Doctoral",6,0.222222222,6,"2016","500 level course","Music"
"2015-16","2016",201501,"Winter",26040,"L","I","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",6,0.133333333,2,"2016","400 level course","Music"
"2018-19","2019",201803,"Fall",14520,"A","I","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Lower Division",4,0.088888889,2,"2018","300 level course","Music"
"2016-17","2017",201602,"Winter",24069,"I","I","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",2,0.0444444,1,"2017","100 level course","Music"
"2018-19","2019",201803,"Winter",26941,"A","I","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Lower Division",4,0.088888889,1,"2019","300 level course","Dance"
"2018-19","2019",201803,"Spring",33736,"I","I","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",4,0.088888889,1,"2019","100 level course","Music"
"2013-14","2014",201303,"Spring",36536,"I","I","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",4,0.088888889,2,"2014","100 level course","Music"
"2017-18","2018",201701,"Spring",34310,"A","I","Regular","Graduate","Graduate","1","1","1","600/700","Doctoral",2,0.074074074,2,"2018","600 level course","Music"
"2014-15","2015",201401,"Winter",24164,"I","I","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",2,0.0444444,1,"2015","300 level course","Music"
"2018-19","2019",201803,"Fall",14539,"L","I","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",20,0.444444444,5,"2018","400 level course","Music"
"2014-15","2015",201402,"Fall",14145,"I","I","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",16,0.355555556,5,"2014","100 level course","Music"
"2015-16","2016",201501,"Winter",24479,"A","I","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Lower Division",18,0.4,9,"2016","300 level course","Music"
"2013-14","2014",201303,"Spring",38429,"A","I","Regular","Graduate","Graduate","1","1","1","600/700","Masters",18,0.5,9,"2014","600 level course","Music"
"2018-19","2019",201803,"Winter",25178,"L","I","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Lower Division",36,0.8,9,"2019","400 level course","Music"
"2015-16","2016",201503,"Spring",34402,"A","I","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",4,0.088888889,4,"2016","300 level course","Music"
"2018-19","2019",201801,"Winter",22497,"A","I","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Lower Division",3,0.066666667,3,"2019","300 level course","Dance"
"2015-16","2016",201501,"Fall",14517,"A","I","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",6,0.133333333,6,"2015","200 level course","Music"
"2018-19","2019",201801,"Spring",34217,"L","I","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Lower Division",12,0.266666667,3,"2019","400 level course","Music"
"2015-16","2016",201503,"Fall",11811,"A","I","Regular","Undergraduate","Undergraduate","0","1","1","Lower Division","Lower Division",2,0.0444444,2,"2015","100 level course","Dance"
"2015-16","2016",201501,"Fall",14388,"I","I","Regular","Graduate","Graduate","1","1","1","600/700","Masters",4,0.111111111,1,"2015","600 level course","Music"
"2018-19","2019",201801,"Winter",25213,"S","I","Regular","Graduate","Graduate","0","0","0","600/700","Doctoral",2,0.074074074,2,"2019","600 level course","Music"
"2014-15","2015",201402,"Spring",31685,"L","I","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",28,0.622222222,7,"2015","300 level course","Dance"
"2017-18","2018",201702,"Fall",14231,"I","I","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",4,0.088888889,1,"2017","400 level course","Music"
"2014-15","2015",201403,"Spring",34113,"I","I","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",6,0.133333333,2,"2015","300 level course","Music"
"2016-17","2017",201601,"Fall",14136,"I","I","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",4,0.088888889,1,"2016","200 level course","Music"
"2017-18","2018",201702,"Fall",14100,"I","I","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",2,0.0444444,1,"2017","100 level course","Music"
"2017-18","2018",201701,"Spring",33797,"I","I","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",4,0.088888889,1,"2018","200 level course","Music"
"2013-14","2014",201303,"Spring",36535,"I","I","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Upper Division",6,0.133333333,2,"2014","100 level course","Music"
"2018-19","2019",201801,"Fall",14430,"L","I","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",156,3.377777778,42,"2018","100 level course","Music"
"2019-20","2020",201901,"Fall",17373,"A","I","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",6,0.133333333,3,"2019","100 level course","Music"
"2017-18","2018",201701,"Winter",26869,"L","I","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Lower Division",3,0.066666667,1,"2018","400 level course","Music"
"2016-17","2017",201601,"Spring",33908,"I","I","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",4,0.088888889,1,"2017","400 level course","Music"
"2019-20","2020",201902,"Fall",14526,"A","I","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",1,0.0222222,1,"2019","300 level course","Music"
"2014-15","2015",201401,"Winter",21736,"A","I","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",18,0.4,6,"2015","400 level course","Dance"
"2017-18","2018",201701,"Winter",26958,"A","I","Regular","Undergraduate","Undergraduate","0","1","1","Upper Division","Upper Division",2,0.0444444,1,"2018","300 level course","Dance"
"2019-20","2020",201902,"Winter",24092,"I","I","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",6,0.133333333,2,"2020","200 level course","Music"
"2017-18","2018",201702,"Spring",36586,"I","I","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",2,0.0444444,1,"2018","200 level course","Music"
"2013-14","2014",201302,"Winter",28578,"I","I","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",2,0.0444444,1,"2014","200 level course","Music"
"2016-17","2017",201602,"Fall",11771,"A","I","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",18,0.4,6,"2016","200 level course","Dance"
"2018-19","2019",201802,"Winter",25142,"A","I","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",3,0.066666667,2,"2019","300 level course","Music"
"2015-16","2016",201502,"Fall",13980,"L","I","Regular","Undergraduate","Undergraduate","0","1","1","Upper Division","Upper Division",16,0.355555556,4,"2015","400 level course","Music"
"2018-19","2019",201802,"Spring",34275,"A","I","Regular","Graduate","Graduate","1","1","1","600/700","Masters",1,0.0277778,1,"2019","600 level course","Music"
"2018-19","2019",201802,"Winter",25041,"L","I","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",8,0.177777778,4,"2019","100 level course","Music"
"2014-15","2015",201401,"Spring",33929,"I","I","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Upper Division",2,0.0444444,1,"2015","100 level course","Music"
"2019-20","2020",201901,"Winter",24096,"I","I","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",14,0.311111111,4,"2020","200 level course","Music"
"2014-15","2015",201401,"Winter",24116,"I","I","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",4,0.088888889,1,"2015","300 level course","Music"
"2018-19","2019",201801,"Spring",34124,"A","I","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",3,0.066666667,3,"2019","100 level course","Music"
"2015-16","2016",201503,"Spring",34004,"I","I","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",8,0.177777778,2,"2016","100 level course","Music"
"2019-20","2020",201901,"Winter",23954,"L","I","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",2,0.0444444,1,"2020","200 level course","Music"
"2017-18","2018",201702,"Winter",25003,"A","I","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",1,0.0222222,1,"2018","300 level course","Music"
"2015-16","2016",201501,"Spring",34217,"I","I","Regular","Graduate","Graduate","1","1","1","600/700","Masters",4,0.111111111,1,"2016","600 level course","Music"
"2015-16","2016",201501,"Spring",33959,"I","I","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",8,0.177777778,2,"2016","100 level course","Music"
"2016-17","2017",201603,"Winter",23970,"E","I","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",8,0.177777778,8,"2017","400 level course","Music"
"2015-16","2016",201503,"Spring",34212,"I","I","Regular","Graduate","Graduate","1","1","1","600/700","Masters",8,0.222222222,2,"2016","600 level course","Music"
"2018-19","2019",201802,"Winter",25110,"L","I","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",9,0.2,3,"2019","300 level course","Music"
"2018-19","2019",201801,"Winter",25110,"L","I","Regular","Graduate","Undergraduate","1","1","1","Upper Division","Masters",1,0.0277778,1,"2019","300 level course","Music"
"2016-17","2017",201603,"Winter",21992,"A","I","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",2,0.0444444,2,"2017","200 level course","Dance"
"2015-16","2016",201501,"Winter",23981,"L","I","Regular","Graduate","Graduate","1","1","1","600/700","Masters",6,0.166666667,2,"2016","600 level course","Music"
"2015-16","2016",201502,"Winter",24146,"I","I","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Lower Division",4,0.088888889,2,"2016","300 level course","Music"
"2014-15","2015",201403,"Spring",36731,"A","I","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",3,0.066666667,3,"2015","200 level course","Dance"
"2019-20","2020",201902,"Winter",23872,"L","I","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",33,0.733333333,12,"2020","300 level course","Music"
"2015-16","2016",201503,"Winter",24346,"I","I","Regular","Graduate","Graduate","1","1","1","600/700","Doctoral",3,0.111111111,1,"2016","700 level course","Music"
"2013-14","2014",201302,"Spring",39022,"L","I","Regular","Graduate","Graduate","1","1","1","600/700","Doctoral",27,1,9,"2014","600 level course","Music"
"2015-16","2016",201502,"Spring",34463,"L","I","Regular","Graduate","Graduate","1","1","1","600/700","Doctoral",15,0.555555556,5,"2016","600 level course","Music"
"2014-15","2015",201401,"Spring",33898,"A","I","Regular","Graduate","Undergraduate","0","0","0","Upper Division","Masters",1,0.0277778,1,"2015","300 level course","Music"
"2015-16","2016",201503,"Spring",34387,"A","I","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",1,0.0222222,1,"2016","300 level course","Music"
"2018-19","2019",201803,"Winter",24714,"I","I","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",9,0.2,3,"2019","200 level course","Music"
"2019-20","2020",201902,"Winter",24471,"A","I","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",2,0.0444444,1,"2020","300 level course","Music"
"2016-17","2017",201602,"Spring",33771,"I","I","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Upper Division",6,0.133333333,3,"2017","100 level course","Music"
"2016-17","2017",201603,"Spring",31785,"L","I","Regular","Graduate","Graduate","1","1","1","500","Doctoral",1,0.037037,1,"2017","500 level course","Dance"
"2018-19","2019",201802,"Winter",22553,"A","I","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",1,0.0222222,1,"2019","200 level course","Dance"
"2013-14","2014",201303,"Winter",25770,"A","I","Regular","Graduate","Graduate","1","1","1","600/700","Doctoral",1,0.037037,1,"2014","600 level course","Music"
"2018-19","2019",201803,"Fall",11919,"A","I","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",6,0.133333333,2,"2018","200 level course","Dance"
"2016-17","2017",201602,"Spring",34011,"I","I","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",2,0.0444444,1,"2017","300 level course","Music"
"2014-15","2015",201401,"Fall",11910,"A","I","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Upper Division",2,0.0444444,2,"2014","100 level course","Dance"
"2016-17","2018",201604,"Summer",41630,"L","I","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Lower Division",21,0.466666667,6,"2017","300 level course","Music"
"2018-19","2019",201802,"Winter",24536,"L","I","Regular","Graduate","Graduate","1","1","1","500","Doctoral",3,0.111111111,1,"2019","500 level course","Music"
"2017-18","2018",201702,"Spring",37099,"I","I","Regular","Graduate","Graduate","1","1","1","600/700","Masters",2,0.0555556,1,"2018","600 level course","Music"
"2015-16","2016",201501,"Spring",34159,"I","I","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Lower Division",8,0.177777778,2,"2016","400 level course","Music"
"2013-14","2014",201303,"Spring",36683,"I","I","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",4,0.088888889,1,"2014","400 level course","Music"
"2016-17","2017",201603,"Spring",33768,"A","I","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",10,0.222222222,5,"2017","100 level course","Music"
"2014-15","2015",201403,"Winter",24444,"A","I","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",7,0.155555556,7,"2015","300 level course","Music"
"2017-18","2018",201703,"Fall",14005,"A","I","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Upper Division",8,0.177777778,4,"2017","100 level course","Music"
"2017-18","2018",201701,"Spring",31750,"A","I","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",3,0.066666667,3,"2018","400 level course","Dance"
"2014-15","2015",201403,"Spring",34396,"L","I","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",12,0.266666667,3,"2015","200 level course","Music"
"2015-16","2016",201503,"Spring",34340,"L","I","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Upper Division",18,0.4,10,"2016","100 level course","Music"
"2017-18","2019",201704,"Summer",41594,"L","I","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",20,0.444444444,5,"2018","300 level course","Music"
"2016-17","2017",201602,"Winter",21996,"A","I","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Lower Division",1,0.0222222,1,"2017","300 level course","Dance"
"2014-15","2015",201403,"Spring",34071,"I","I","Regular","Undergraduate","Undergraduate","0","0","0","Lower Division","Lower Division",4,0.088888889,1,"2015","200 level course","Music"
"2018-19","2019",201803,"Spring",36885,"L","I","Regular","Undergraduate","Undergraduate","1","1","1","Upper Division","Upper Division",6,0.133333333,2,"2019","400 level course","Music"
"2015-16","2016",201502,"Winter",21836,"A","I","Regular","Undergraduate","Undergraduate","1","1","1","Lower Division","Lower Division",1,0.0222222,1,"2016","200 level course","Dance"
"2017-18","2019",201704,"Summer",42287,"L","I","Regular","Undergraduate","Undergraduate","0","0","0","Upper Division","Upper Division",12,0.266666667,4,"2018","400 level course","Music"
"2013-14","2014",201302,"Winter",25792,"A","I","Regular","Graduate","Graduate","1","1","1","600/700","Masters",6,0.166666667,6,"2014","600 level course","Music"
